"HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","B-V","miembro"
15572,3.34361186666667,9.033552,19.71,287.04,-62.85,8.46,0.69,0
15586,3.3460314,23.183969,7.38,-3.41,-13.07,8.48,0.392,0
15588,3.3462458,18.737311,3.32,14.89,-39.8,8.63,1.069,0
15593,3.34708273333333,6.433231,4.55,61.86,-13.95,9.61,0.559,0
15597,3.34762866666667,20.50943,7.4,5.89,-23.2,6.78,1.168,0
15608,3.34970933333333,20.647039,3.22,-1.43,-10.8,8.7,1.612,0
15611,3.3502318,8.451046,5.87,-14.74,-15.72,8.14,0.102,0
15612,3.3503636,19.476262,6.44,63.85,-56.74,7.96,0.594,0
15619,3.3518898,3.67562,11.23,56.05,-25.17,5.7,0.964,0
15625,3.3534678,13.784013,3.79,36.64,2.53,10.12,0.511,0
15627,3.3537846,21.147086,7.06,21.68,-22.41,5.27,-0.067,0
15628,3.3538992,3.856869,7.59,58.87,-14.04,8.9,0.389,0
15630,3.3548266,9.659873,4.58,-9.34,5.63,7.71,0.334,0
15633,3.3550204,10.62979,11.88,-41.4,-19.6,8.42,0.593,0
15640,3.35604346666667,23.007761,6.19,-57.02,-28.88,9.81,0.58,0
15650,3.3578608,7.624536,0.59,-0.8,-6.62,10.49,1.287,0
15651,3.35826566666667,21.438654,3.6,18.03,-9.4,9.19,0.349,0
15661,3.3616292,10.829897,13.94,22.55,-19.64,9.67,0.798,0
15668,3.3642434,11.309447,9.15,65.11,-76.38,10.39,0.887,0
15670,3.36482226666667,5.699313,6.33,19.56,2.46,9.63,0.631,0
15683,3.36731033333333,17.23997,15.33,168.25,-175.03,10.9,0.99,0
15687,3.36807693333333,4.210598,7.18,25.03,9.86,7.47,1.154,0
15711,3.373135,3.447254,2.06,3.97,-2.24,10.28,0.649,0
15724,3.37571526666667,17.725354,23.55,40.02,-29.15,8.83,0.882,0
15737,3.37923373333333,20.742069,10.23,-49.22,-14.88,5.1,1.231,0
15738,3.37971293333333,6.799541,4.71,5.79,-21.18,10.76,0.768,0
15766,3.38647206666667,21.568018,6.83,-6.8,2.13,9.28,0.524,0
15777,3.3885914,16.565733,4.56,-0.55,-32.7,7.86,1.12,0
15805,3.3936656,15.667888,5.32,-5.04,34.43,9.72,0.466,0
15807,3.39416386666667,4.882105,2.92,-6.83,-2.56,6.37,0.851,0
15808,3.39432033333333,18.555759,4.25,-2.65,-8.56,8.94,0.972,0
15810,3.3943782,8.838911,5.72,-8.92,-12.28,10.67,0.584,0
15822,3.39784853333333,13.837254,3.09,17.22,-6.45,8.69,1.198,0
15823,3.39792506666667,16.721356,7.28,22.75,-8.48,8.49,0.41,0
15837,3.3998912,10.461674,4.87,-0.56,-7.68,10.41,0.834,0
